date,close,imp30,imp60,imp90,imp120
4/12/2012,88.9371,41.28,37.829,35.932,35.521
4/13/2012,86.4614,42.84,38.977,37.186,36.697
4/16/2012,82.9543,44.68,39.628,37.719,36.865
4/17/2012,87.1,45.06,40.432,38.318,37.343
4/18/2012,86.9057,44.78,40.363,38.487,37.948
4/19/2012,83.9929,45.07,40.526,38.458,37.326
4/20/2012,81.8543,45.74,40.729,38.331,37.303
4/23/2012,81.6714,46.31,39.865,37.378,36.025
4/24/2012,80.04,42.6,37.18,35.319,34.677
4/25/2012,87.1429,31.75,32.459,33.109,33.876
4/26/2012,86.8143,29.54,30.975,32.273,33.72
4/27/2012,86.1429,28.51,30.135,31.717,33.254
4/30/2012,83.4629,29.89,30.664,31.931,33.157
5/1/2012,83.1614,29.82,30.471,31.9,32.84
5/2/2012,83.7143,28.45,29.658,31.309,32.288
5/3/2012,83.1171,27.62,29.058,31.191,32.495
5/4/2012,80.75,29.09,30.192,32.142,33.218
5/7/2012,81.3543,29.7,30.788,33.184,34.014
5/8/2012,81.1686,31.07,31.702,34.088,34.665
5/9/2012,81.3114,30.71,31.552,34.225,34.817
5/10/2012,81.5029,28.54,29.961,32.978,33.701
5/11/2012,80.9586,27.17,29.203,32.668,33.575
5/14/2012,79.7457,28.66,30.421,33.92,34.574
5/15/2012,79.0243,27.07,29.178,33.447,34.756
5/16/2012,78.0107,29.04,30.744,34.639,35.642
5/17/2012,75.7314,33.93,34.432,37.716,38.153
5/18/2012,75.7686,32.56,33.597,36.881,38.032
5/21/2012,80.1829,29.94,31.213,34.831,36.317
5/22/2012,79.5671,29.08,30.085,33.848,35.761
5/23/2012,81.5086,31.21,31.897,35.41,36.989
5/24/2012,80.76,31.54,32.687,35.6,36.848
5/25/2012,80.3271,30.41,32.598,35.559,37.062
5/29/2012,81.7529,30.62,32.404,34.816,36.169
5/30/2012,82.7386,30.57,32.737,35.109,36.536
5/31/2012,82.5329,30.2,32.682,34.671,36.116
6/1/2012,80.1414,33.37,35.22,37.042,38.168
6/4/2012,80.6129,36.24,37.557,38.421,39.002
6/5/2012,80.3857,33.53,35.404,36.709,37.866
6/6/2012,81.6843,30.55,32.676,34.259,36.131
